Company,Model,Displ,Cyl,Drive,Fuel,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2,Trans_type,Gear_num
ACURA,Integra,1.5,4.0,2WD,Gasoline,large car,7,30,37,33,6,No,269,SCV,7
ACURA,Integra,2.0,4.0,2WD,Gasoline,large car,6,21,28,24,5,No,371,Man,6
ACURA,Integra A-Spec,1.5,4.0,2WD,Gasoline,large car,6,26,36,30,6,No,293,Man,6
ACURA,Integra A-Spec,1.5,4.0,2WD,Gasoline,large car,7,29,36,32,6,No,277,SCV,7
ACURA,MDX,3.5,6.0,2WD,Gasoline,small SUV,5,19,26,22,5,No,411,SemiAuto,10
ACURA,MDX,3.5,6.0,4WD,Gasoline,small SUV,5,19,25,21,4,No,423,SemiAuto,10
ACURA,MDX Type-S,3.0,6.0,4WD,Gasoline,standard SUV,5,17,21,19,4,No,474,SemiAuto,10
ACURA,RDX,2.0,4.0,4WD,Gasoline,small SUV,6,21,27,23,5,No,385,SemiAuto,10
ACURA,RDX A-SPEC,2.0,4.0,4WD,Gasoline,small SUV,6,21,26,23,5,No,386,SemiAuto,10
ALFA,ROMEO Giulia,2.0,4.0,2WD,Gasoline,midsize car,5,24,33,27,5,No,330,Auto,8
ALFA,ROMEO Giulia,2.9,6.0,2WD,Gasoline,midsize car,3,17,25,20,4,No,436,Auto,8
ALFA,ROMEO Giulia AWD,2.0,4.0,4WD,Gasoline,midsize car,5,23,31,26,5,No,348,Auto,8
ALFA,ROMEO Stelvio,2.0,4.0,2WD,Gasoline,small SUV,5,22,29,25,5,No,359,Auto,8
ALFA,ROMEO Stelvio AWD,2.0,4.0,4WD,Gasoline,small SUV,5,22,28,24,5,No,364,Auto,8
ALFA,ROMEO Stelvio AWD,2.9,6.0,4WD,Gasoline,small SUV,3,17,23,19,4,No,463,Auto,8
ALFA,ROMEO Tonale eAWD,1.3,4.0,4WD,Gasoline/Electricity,small SUV,6,77,77,77,9,No,120,Auto,6
AUDI,A3,2.0,4.0,2WD,Gasoline,small car,7,29,37,32,6,No,279,AMS,7
AUDI,A3,2.0,4.0,4WD,Gasoline,small car,7,27,34,30,6,No,299,AMS,7
AUDI,A4,2.0,4.0,4WD,Gasoline,small car,5,26,35,30,6,No,300,AMS,7
AUDI,A4 S line quattro,2.0,4.0,4WD,Gasoline,small car,5,24,32,27,5,No,330,AMS,7
AUDI,A4 allroad quattro,2.0,4.0,4WD,Gasoline,station wagon,5,23,30,26,5,No,346,AMS,7
AUDI,A5,2.0,4.0,4WD,Gasoline,small car,5,24,32,27,5,No,330,AMS,7
AUDI,A5 Cabriolet,2.0,4.0,4WD,Gasoline,small car,5,24,33,27,5,No,324,AMS,7
AUDI,A5 Sportback S line quattro,2.0,4.0,4WD,Gasoline,midsize car,5,24,32,27,5,No,330,AMS,7
AUDI,A5 Sportback quattro,2.0,4.0,4WD,Gasoline,midsize car,5,26,35,30,6,No,300,AMS,7
AUDI,A6,2.0,4.0,4WD,Gasoline,midsize car,5,23,33,26,5,No,337,AMS,7
AUDI,A6,3.0,6.0,4WD,Gasoline,midsize car,5,22,30,25,5,No,359,AMS,7
AUDI,A6 allroad quattro,3.0,6.0,4WD,Gasoline,station wagon,5,22,30,25,5,No,359,AMS,7
AUDI,A7,3.0,6.0,4WD,Gasoline,midsize car,5,22,30,25,5,No,359,AMS,7
AUDI,A8 quattro,3.0,6.0,4WD,Gasoline,large car,5,19,28,22,5,No,400,SemiAuto,8
AUDI,Q3,2.0,4.0,4WD,Gasoline,small SUV,6,22,29,25,5,No,360,SemiAuto,8
AUDI,Q3 S line quattro,2.0,4.0,4WD,Gasoline,small SUV,7,20,28,23,5,No,384,SemiAuto,8
AUDI,Q5 Plug-In Hybrid quattro,2.0,4.0,4WD,Gasoline/Electricity,small SUV,7,55,61,58,9,Yes,149,AMS,7
AUDI,Q5 S line quattro,2.0,4.0,4WD,Gasoline,small SUV,5,22,28,24,5,No,366,AMS,7
AUDI,Q5 Sportback S line quattro,2.0,4.0,4WD,Gasoline,small SUV,5,22,28,24,5,No,366,AMS,7
AUDI,Q5 quattro,2.0,4.0,4WD,Gasoline,small SUV,5,23,29,26,5,No,346,AMS,7
AUDI,Q7 quattro,2.0,4.0,4WD,Gasoline,standard SUV,5,19,25,21,4,No,416,SemiAuto,8
AUDI,Q7 quattro,3.0,6.0,4WD,Gasoline,standard SUV,5,19,24,21,4,No,431,SemiAuto,8
AUDI,RS 3,2.5,5.0,4WD,Gasoline,small car,3,19,29,23,5,No,388,AMS,7
AUDI,RS 5 Coupe,2.9,6.0,4WD,Gasoline,small car,5,18,25,21,4,No,425,SemiAuto,8
AUDI,RS 5 Sportback,2.9,6.0,4WD,Gasoline,midsize car,5,18,25,20,4,No,438,SemiAuto,8
