Company,Model,Drive,Fuel,Veh Class,City MPG,Hwy MPG,Cmb MPG,SmartWay,gear_num
AUDI,Q4 40 e-tron,2WD,Electricity,standard SUV,30,36,33,Elite,1
AUDI,Q4 50 e-tron quattro,4WD,Electricity,standard SUV,97,87,93,Elite,1
AUDI,Q4 Sportback 50 e-tron quattro,4WD,Electricity,standard SUV,100,89,95,Elite,1
AUDI,Q8 Sportback e-tron quattro,4WD,Electricity,standard SUV,84,90,87,Elite,2
AUDI,Q8 Sportback e-tron ultra quattro,4WD,Electricity,standard SUV,84,89,86,Elite,2
AUDI,Q8 e-tron quattro,4WD,Electricity,standard SUV,80,83,81,Elite,2
AUDI,RS e-tron GT,4WD,Electricity,midsize car,85,85,85,Elite,2
AUDI,SQ8 Sportback e-tron (20 in.wheels),4WD,Electricity,standard SUV,72,75,73,Elite,2
AUDI,SQ8 Sportback e-tron (21/22 in.wheels),4WD,Electricity,standard SUV,62,63,63,Elite,2
AUDI,SQ8 e-tron (20 in. wheels),4WD,Electricity,standard SUV,72,75,73,Elite,2
AUDI,SQ8 e-tron (21/22 in.wheels),4WD,Electricity,standard SUV,62,63,63,Elite,2
AUDI,e-tron GT,4WD,Electricity,midsize car,85,85,85,Elite,2
BMW,"i4 M50 Gran Coupe (19"" Wheels)",4WD,Electricity,small car,94,98,95,Elite,1
BMW,"i4 M50 Gran Coupe (20"" Wheels)",4WD,Electricity,small car,79,80,80,Elite,1
BMW,i4 eDrive 35 Gran Coupe (19'' Wheels),2WD,Electricity,small car,111,107,110,Elite,1
BMW,i4 eDrive35 Gran Coupe (18'' Wheels),2WD,Electricity,small car,122,119,120,Elite,1
BMW,"i4 eDrive40 Gran Coupe (18"" Wheels)",2WD,Electricity,small car,109,108,109,Elite,1
BMW,"i4 eDrive40 Gran Coupe (19"" Wheels)",2WD,Electricity,small car,100,99,100,Elite,1
BMW,i4 xDrive40 Gran Coupe (18'' Wheels),4WD,Electricity,small car,107,111,109,Elite,1
BMW,i4 xDrive40 Gran Coupe (19'' Wheels),4WD,Electricity,small car,98,100,99,Elite,1
BMW,i5 M60 xDrive Sedan (19'' Wheels),4WD,Electricity,small car,90,93,91,Elite,1
BMW,i5 M60 xDrive Sedan (20'' Wheels),4WD,Electricity,small car,89,90,89,Elite,1
BMW,i5 M60 xDrive Sedan (21'' Wheels),4WD,Electricity,small car,85,86,85,Elite,1
BMW,i5 eDrive40 Sedan (19'' Wheels),2WD,Electricity,small car,104,105,105,Elite,1
BMW,i5 eDrive40 Sedan (20'' Wheels),2WD,Electricity,small car,99,98,99,Elite,1
BMW,i5 eDrive40 Sedan (21'' Wheels),2WD,Electricity,small car,97,94,96,Elite,1
BMW,i7 M70 xDrive Sedan (20'' Wheels),4WD,Electricity,large car,74,80,77,Elite,1
BMW,i7 M70 xDrive Sedan (21'' Wheels),4WD,Electricity,large car,79,85,81,Elite,1
BMW,i7 eDrive50 Sedan (19'' Wheels),2WD,Electricity,large car,87,95,90,Elite,1
BMW,i7 eDrive50 Sedan (20'' Wheels),2WD,Electricity,large car,83,90,86,Elite,1
BMW,i7 eDrive50 Sedan (21'' Wheels),2WD,Electricity,large car,86,92,88,Elite,1
BMW,i7 xDrive60 Sedan (19'' Wheels),4WD,Electricity,large car,87,93,90,Elite,1
BMW,i7 xDrive60 Sedan (20'' Wheels),4WD,Electricity,large car,82,87,84,Elite,1
BMW,i7 xDrive60 Sedan (21'' Wheels),4WD,Electricity,large car,86,91,88,Elite,1
BMW,iX M60 (21'' Wheels),4WD,Electricity,standard SUV,78,82,80,Elite,1
BMW,iX M60 (22'' Wheels),4WD,Electricity,standard SUV,78,82,80,Elite,1
BMW,iX xDrive40 (20'' Wheels),4WD,Electricity,standard SUV,87,85,86,Elite,1
BMW,iX xDrive40 (21'' Wheels),4WD,Electricity,standard SUV,87,85,86,Elite,1
BMW,iX xDrive40 (22'' Wheels),4WD,Electricity,standard SUV,87,85,86,Elite,1
BMW,"iX xDrive50 (20"" Wheels)",4WD,Electricity,standard SUV,83,82,83,Elite,1
BMW,"iX xDrive50 (21"" Wheels)",4WD,Electricity,standard SUV,83,82,83,Elite,1
BMW,iX xDrive50 (22'' Wheels),4WD,Electricity,standard SUV,83,82,83,Elite,1
CADILLAC,Lyriq,2WD,Electricity,small SUV,95,82,88,Elite,1
CHEVROLET,Blazer EV,4WD,Electricity,small SUV,103,88,96,Elite,1
CHEVROLET,Silverado EV,4WD,Electricity,pickup,67,59,63,Elite,1
CHEVROLET,Silverado EV,4WD,Electricity,pickup,72,62,67,Elite,1
CRUISE,Origin,2WD,Electricity,station wagon,42,42,42,Elite,1
GENESIS,Electrified G80,4WD,Electricity,midsize car,105,89,97,Elite,1
GENESIS,Electrified GV70,4WD,Electricity,small SUV,98,83,91,Elite,1
